date,strategy_equity,buy_hold_equity
2015-01-02,100000.0,100000.0
2015-01-05,95947.59585220057,97182.85285879945
2015-01-06,95960.25067022182,97192.0214084058
2015-01-07,97842.68933595759,98554.8664440064
2015-01-08,103101.88377310678,102341.56407579525
2015-01-09,103161.97069218682,102451.32673796397
2015-01-12,100576.06525248333,99926.84852217002
2015-01-13,101435.89766232629,100814.0553550395
2015-01-14,101029.39540901847,100429.95298991603
2015-01-15,98172.4437163588,97704.23141167151
2015-01-16,97402.25975771359,96945.05344933597
2015-01-20,100136.41042728632,99442.08115363671
2015-01-21,100931.20077961778,100201.25911597225
2015-01-22,103412.62751938807,102808.0258521592
2015-01-23,103899.14104576987,103338.54144759427
2015-01-26,104004.3842290665,103448.29623300215
2015-01-27,99990.51740374933,99826.24653284681
2015-01-28,105098.8472733624,105469.70148809341
2015-01-29,107595.33211082549,108753.35766622289
2015-01-30,106422.89759864545,107161.85814048265
2015-02-02,107460.4491313499,108506.38183039223
2015-02-03,107474.46132074598,108524.69529932244
2015-02-04,107984.83450124986,109357.03261624879
2015-02-05,108588.42481608424,110137.58023071665
2015-02-06,107860.6813873622,109210.10739648323
2015-02-09,108448.95005609922,109935.52556190056
2015-02-10,110218.34198554554,112047.55295034319
2015-02-11,112517.3653950644,114673.80679282405
2015-02-12,113735.34404479155,116124.6903842237
2015-02-13,114225.29330073265,116694.02265702994
2015-02-17,114719.32132967957,117382.71936345693
2015-02-18,115477.08400439251,118199.97268339347
2015-02-19,115244.63513515164,117952.07526654567
2015-02-20,116170.32101316433,118916.23805272611
2015-02-23,119800.18163724369,122130.20852779089
2015-02-24,118946.64991783614,121368.02951957905
2015-02-25,116041.74454341872,118264.27855881114
2015-02-26,117563.63755472162,119761.05215880749
2015-02-27,115236.64415586407,117961.22806263034
2015-03-02,115829.4025897376,118539.73676180377
2015-03-03,116102.1018131853,118787.6971927382
2015-03-04,114977.11114871371,118034.69461089352
2015-03-05,112199.92105550403,116078.7846221053
2015-03-06,112346.53753718738,116253.22336745072
2015-03-09,112861.89112836513,116749.11272227626
2015-03-10,109661.73533834204,114334.07422145699
2015-03-11,106556.667763398,112249.57611211589
2015-03-12,109451.61078667805,114278.96052592812
2015-03-13,108261.34482876823,113489.2601153756
2015-03-16,109794.98786370186,114738.08903795917
2015-03-17,111691.54188327058,116657.2933212787
2015-03-18,113232.37777862657,117970.39661223665
2015-03-19,112149.6309720825,117079.70825108024
2015-03-20,110384.80488278624,115610.47968370708
2015-03-23,112052.05522577598,116813.37133712898
2015-03-24,111522.05595455029,116335.89784912442
2015-03-25,106639.80928195945,113296.40550320921
2015-03-26,107870.29909141638,114086.11379052258
2015-03-27,106417.6393594892,113177.02531606684
2015-03-30,111056.30596127664,116042.05528635412
2015-03-31,108462.15177597296,114260.58404291133
2015-04-01,108261.27793706783,114095.2744633681
2015-04-02,109642.45554919894,115077.8688698912
2015-04-06,112398.09472230317,116941.96733444271
2015-04-07,110673.6150082775,115711.49914135432
2015-04-08,110131.55146777727,115334.96634338866
2015-04-09,111449.63845440232,116216.54916902537
2015-04-10,112222.74394528133,116712.39126328593
2015-04-13,111853.49220787015,116482.80731536832
2015-04-14,111002.29464778742,115977.78091797976
2015-04-15,111742.22137170126,116418.51719347232
2015-04-16,110770.72299963707,115858.40073083738
2015-04-17,108526.72120854673,114554.47386624663
2015-04-20,112989.51855910005,117171.51189855616
2015-04-21,111918.67677645992,116537.92888765802
2015-04-22,114577.48330687353,118108.16115915673
2015-04-23,116180.61900124318,119072.34757561967
2015-04-24,117156.76100052755,119632.46403825459
2015-04-27,120993.079373755,121808.78942535406
2015-04-28,117561.673839014,119889.60089555618
2015-04-29,114449.79481633898,118126.54551893438
2015-04-30,108860.71714168633,114921.75147023678
2015-05-01,114580.68148536257,118411.17227153335
2015-05-04,114290.96803382838,118181.60407713741
2015-05-05,110163.92335656795,115518.60514538371
2015-05-06,109117.52206278376,114793.2184870097
2015-05-07,110123.81302381346,115503.21395472152
2015-05-08,113240.8115524956,117679.37392984355
2015-05-11,111576.50955272836,116480.64908290083
2015-05-12,111007.3631983076,116065.70132236632
2015-05-13,111184.00198728492,116194.81718589482
2015-05-14,114902.01007859745,118905.80134462604
2015-05-15,114676.95882014904,118739.80648689058
2015-05-18,116425.71399941023,120049.1998234975
2015-05-19,116266.46319722662,119938.58647115911
2015-05-20,116252.75842889538,119929.34703070529
2015-05-21,117999.22114927374,121155.74293844448
2015-05-22,119512.16804974043,122216.1439884482
2015-05-26,115672.23490540408,119523.57569653797
2015-05-27,118758.7987252726,121755.07779325293
2015-05-28,118426.65123253706,121515.34070062522
2015-05-29,116462.62056836326,120132.1893756044
2015-06-01,116818.12962847212,120371.94222175376
2015-06-02,115867.3188619026,119837.14166842708
2015-06-03,116121.36420421336,119984.64976849408
2015-06-04,114899.29661674796,119283.87798771441
2015-06-05,113764.09822199658,118629.14587398722
2015-06-08,112411.17070956256,117845.37666433983
2015-06-09,111809.52552738943,117494.97108204792
2015-06-10,113578.21796954387,118841.25916638345
2015-06-11,113082.57553022364,118573.85101295926
2015-06-12,111330.52251719167,117264.44979959152
2015-06-15,110898.41041587328,117033.89701009181
2015-06-16,111967.94784395625,117660.95806302254
2015-06-17,111494.15713234771,117384.35772970953
2015-06-18,112408.48053762464,117919.1504062754
2015-06-19,110383.18340050259,116738.82567263201
2015-06-22,111767.95872048693,117670.15811967221
2015-06-23,110953.65170537052,117135.31818254136
2015-06-24,112634.03026292028,118131.20856134582
2015-06-25,111668.76276655118,117568.77633102682
2015-06-26,110486.36315374241,116877.18097661433
2015-06-29,107003.06736881413,114830.08172769498
2015-06-30,108395.03211193629,115659.96149524231
2015-07-01,110215.00791128233,116738.82567263201
2015-07-02,109964.34470019651,116591.32544932584
2015-07-06,109275.51125260649,116185.57774544101
2015-07-07,108791.55991873429,115899.7143413917
2015-07-08,103930.6266423248,113022.75107844667
2015-07-09,100114.97583099031,110717.49887007862
2015-07-10,104932.64092705844,113677.42805484805
2015-07-13,108579.1180397581,115872.07478763854
2015-07-14,108499.69500779161,115825.95635297778
2015-07-15,110322.99368255438,116941.69164781358
2015-07-16,111941.09581236374,118500.06151750202
2015-07-17,113483.68977943863,119523.57569653796
2015-07-20,116478.96896268213,121782.78823785354
2015-07-21,114950.79963013291,120565.60026352486
2015-07-22,107414.12031091041,115466.31920699288
2015-07-23,107326.4673752176,115411.02434596492
2015-07-24,106679.2036778617,114802.434297181
2015-07-27,105375.85026199395,113207.16180300311
2015-07-28,105914.27565208574,113769.6412938871
2015-07-29,105555.67665283206,113410.04353170637
2015-07-30,104979.41611264604,112838.3324771294
2015-07-31,103957.17756600167,111851.67366201793
2015-08-03,101205.25917783704,109214.44749170062
2015-08-04,97111.22930700362,105710.41529906403
2015-08-05,97858.16158098566,106411.23434040866
2015-08-06,98058.55828105037,106642.82686233794
2015-08-07,98450.08871482998,107004.04723724972
2015-08-10,103208.36140303464,110894.4345486072
2015-08-11,96744.4160053068,105123.73052214885
2015-08-12,98293.0997164616,106744.67337987234
2015-08-13,98212.43380463931,106661.34512704975
2015-08-14,98798.0135176781,107411.61447288633
2015-08-17,99659.7111640692,108523.17508448215
2015-08-18,99174.46840167257,107911.81241588599
2015-08-19,98078.9474809708,106531.67001350228
2015-08-20,96134.7101474001,104345.64045706001
2015-08-21,90218.6031262282,97963.55800848384
2015-08-24,88080.8677162037,95518.17822494669
2015-08-25,88588.45097044557,96092.4571035543
2015-08-26,93353.04154005297,101603.85816348274
2015-08-27,95493.57263308424,104595.75912046192
2015-08-28,95688.73848171241,104938.46123066191
2015-08-31,95396.2585087113,104447.51848163772
2015-09-01,92150.06929906043,99779.05685871307
2015-09-02,95090.87715191404,104058.45375719122
2015-09-03,93926.57849601441,102233.72334326901
2015-09-04,93268.63474928515,101214.79343903625
2015-09-08,95111.4873711182,104030.71180554728
2015-09-09,93801.43445838694,102029.9357870703
2015-09-10,95385.82168868235,104271.52013764791
2015-09-11,96430.61113316462,105790.62435459785
2015-09-14,96878.14225651274,106809.53062854813
2015-09-15,97394.08728719025,107708.02485968727
2015-09-16,97462.85307731054,107828.46053278091
2015-09-17,96403.59905011392,105522.02681028833
2015-09-18,96088.36231089731,105086.64673216031
2015-09-21,97187.72781358659,106716.91567470675
2015-09-22,96282.28043627714,105040.32350171795
2015-09-23,96856.93274107814,105892.5338862189
2015-09-24,97291.95879183951,106522.39906600518
2015-09-25,97074.42267187063,106253.76213789149
2015-09-28,95247.92833039416,104151.12384835846
2015-09-29,92288.39016012354,101020.26895357388
2015-09-30,93347.76086823278,102168.87397135409
2015-10-01,92656.85278716848,101501.96438538341
2015-10-02,93242.0946580856,102242.97853724452
2015-10-05,93670.50004892262,102613.48561317509
2015-10-06,94185.59639647209,103104.40473191679
2015-10-07,93598.86959936164,102613.48561317509
2015-10-08,92440.23593327642,101427.82831244965
2015-10-09,96151.9745728751,103854.70558479668
2015-10-12,95526.96036324326,103373.03378326962
2015-10-13,95768.1586488634,103549.0478807811
2015-10-14,93506.16090870598,102085.52996500983
2015-10-15,95795.31648635097,103613.88149917441
2015-10-16,94634.4953576184,102854.30969879737
2015-10-19,95607.26104970416,103493.45370284161
2015-10-20,98564.8323499331,105383.06499572209
2015-10-21,98545.97788020932,105373.7782947033
2015-10-22,101086.07206566694,106985.53684929878
2015-10-23,106091.58951701439,110301.61377500532
2015-10-26,101311.51050039243,106781.74929310005
2015-10-27,100434.75282998619,106105.56875963224
2015-10-28,106706.73830949856,110477.64362603845
2015-10-29,108146.87442863583,111644.71964796545
2015-10-30,106939.44864029494,110690.68637621263
2015-11-02,108878.90344504423,112246.81136906448
2015-11-03,110475.16267497027,113534.36244788926
2015-11-04,109918.47394861658,113006.37529268068
2015-11-05,109399.80179006096,112485.4063313718
2015-11-06,109530.47946286431,112615.65644845986
2015-11-09,109050.0314854556,112159.8361759775
2015-11-10,105297.36566675304,108624.91132736491
2015-11-11,104685.59112352463,108010.9256974123
2015-11-12,104258.2718730175,107648.16147737783
2015-11-13,100559.71946744555,104503.88458213859
2015-11-16,102430.45868452721,106215.57560138672
2015-11-17,101931.86671586228,105759.75532890436
2015-11-18,105673.06025013275,109108.63108670783
2015-11-19,106595.52410167205,110494.70468999665
2015-11-20,106930.37888524953,110978.41657257872
2015-11-23,105865.09028126422,109536.55187232964
2015-11-24,106921.36060903085,110587.72135864038
2015-11-25,106138.83940235512,109797.01272270159
2015-11-27,105889.67014270193,109592.38235309404
2015-11-30,106507.47168399392,110048.19474881557
2015-12-01,105621.76215809006,109155.1433594101
2015-12-02,104141.70846307056,108169.05954783924
