peak_index,peak_date,trough_index,trough_date,recovery_index,recovery_date,depth_pct,duration_days,recovery_days,mean_pos_during_drawdown,mean_pos_outside_drawdown,mean_kelly_during,mean_kelly_outside,buy_hold_depth_pct,buy_hold_duration_days,buy_hold_recovery_days
3,2022-02-01 00:00:00,9,2022-02-09 00:00:00,15,2022-02-17 00:00:00,0.06055453968264842,6,6,0.012354607544992848,0.08998210547344151,0.1666666666666667,0.15268546492111448,-1.9479793273182011,6,1
16,2022-02-18 00:00:00,17,2022-02-21 00:00:00,19,2022-02-23 00:00:00,0.005309619786885478,1,2,0.05242592508281411,0.08951288691159995,0.16666666666666669,0.1527555110220441,-0.05063925699444558,1,25
19,2022-02-23 00:00:00,21,2022-02-25 00:00:00,22,2022-02-28 00:00:00,0.41232522861051024,2,1,0.25121386841439536,0.08895192716419177,0.1277777777777778,0.1528585757271816,-3.363479215649381,2,2
31,2022-03-11 00:00:00,32,2022-03-14 00:00:00,33,2022-03-15 00:00:00,0.005314114041105351,1,1,0.3245602990741292,0.08896752744468348,0.05,0.15298931195724785,-0.020633481145427447,1,1
33,2022-03-15 00:00:00,34,2022-03-16 00:00:00,40,2022-03-24 00:00:00,0.13172478119490647,1,6,0.46411808329877247,0.08868785252639763,0.05,0.15298931195724785,-0.3763565176997336,1,1
49,2022-04-06 00:00:00,53,2022-04-12 00:00:00,56,2022-04-19 00:00:00,0.04980011900251191,4,3,0.02159286010080492,0.08977964692204858,0.16666666666666669,0.15271356783919598,-1.7614343294653638,4,1
57,2022-04-20 00:00:00,61,2022-04-26 00:00:00,65,2022-05-02 00:00:00,0.12569440878116694,4,4,0.04875138592149292,0.08964317191792452,0.16666666666666669,0.15271356783919598,3.8560934046825333,4,21
72,2022-05-11 00:00:00,91,2022-06-07 00:00:00,95,2022-06-13 00:00:00,0.6778977123894914,19,4,0.07188793392740382,0.08979689215244317,0.16083333333333333,0.15261904761904768,-7.738095143024733,19,1
100,2022-06-20 00:00:00,102,2022-06-22 00:00:00,103,2022-06-23 00:00:00,0.09195896876192242,2,1,0.029859361694820712,0.08961798886946631,0.16666666666666666,0.15274155800735542,1.5759456330885384,2,1
103,2022-06-23 00:00:00,105,2022-06-27 00:00:00,110,2022-07-04 00:00:00,0.04294771226733525,2,5,0.20554507737038344,0.08908934579321086,0.1277777777777778,0.1528585757271816,-0.8862337259514346,2,29
110,2022-07-04 00:00:00,111,2022-07-05 00:00:00,112,2022-07-06 00:00:00,0.0015186777717193952,1,1,0.14651261899341494,0.08932433642280115,0.10833333333333334,0.15287241148964598,0.13577830458494924,1,1
116,2022-07-12 00:00:00,117,2022-07-13 00:00:00,118,2022-07-14 00:00:00,0.07263737716109574,1,1,0.020340493820098615,0.08957718637304828,0.16666666666666669,0.1527555110220441,1.7855362264933505,1,2
120,2022-07-18 00:00:00,122,2022-07-20 00:00:00,132,2022-08-03 00:00:00,0.09339959844135319,2,10,0.05213324218487079,0.08955096615986737,0.16666666666666666,0.15274155800735542,1.3906184697026143,2,6
140,2022-08-15 00:00:00,142,2022-08-17 00:00:00,148,2022-08-25 00:00:00,0.06188283913892236,2,6,0.05536924029848802,0.08954122895390863,0.16666666666666666,0.15274155800735542,0.9628039118892651,2,98
148,2022-08-25 00:00:00,151,2022-08-30 00:00:00,153,2022-09-01 00:00:00,0.1478319351170698,3,2,0.04154031628337923,0.08963107602691653,0.16666666666666669,0.15272757697456493,2.21605102292305,3,8
153,2022-09-01 00:00:00,157,2022-09-07 00:00:00,159,2022-09-09 00:00:00,0.18274996035175003,4,2,0.11583740125660398,0.08930605626297422,0.09666666666666668,0.15306532663316583,0.2014908361644279,4,1
161,2022-09-13 00:00:00,162,2022-09-14 00:00:00,163,2022-09-15 00:00:00,0.1742870468055618,1,1,0.2909512618719985,0.08903488022464767,0.10833333333333334,0.15287241148964598,-0.37048201625144933,1,40
169,2022-09-23 00:00:00,172,2022-09-28 00:00:00,174,2022-09-30 00:00:00,0.544688650150135,3,2,0.18326697177981693,0.08906189267150914,0.07916666666666666,0.1530789825970549,2.797279489723984,3,3
185,2022-10-17 00:00:00,186,2022-10-18 00:00:00,187,2022-10-19 00:00:00,0.012274323334076818,1,1,0.12195821004622569,0.08937354365516025,0.10833333333333334,0.15287241148964598,0.36459256583585115,1,1
192,2022-10-26 00:00:00,193,2022-10-27 00:00:00,194,2022-10-28 00:00:00,0.0068767825457765235,1,1,0.10965919217292261,0.08939819098556766,0.16666666666666669,0.1527555110220441,0.058090844032502136,1,1
195,2022-10-31 00:00:00,197,2022-11-02 00:00:00,217,2022-11-30 00:00:00,0.3683709209710488,2,20,0.2061634189288322,0.08908748518671603,0.16666666666666666,0.15274155800735542,1.635032378008848,2,4
217,2022-11-30 00:00:00,218,2022-12-01 00:00:00,224,2022-12-09 00:00:00,0.015249238938737085,1,6,0.10658553319056922,0.08940435062280686,0.16666666666666669,0.1527555110220441,0.30137042255254803,1,22
225,2022-12-12 00:00:00,226,2022-12-13 00:00:00,227,2022-12-14 00:00:00,0.003835087419751515,1,1,0.004863384922606828,0.08960820262334383,0.16666666666666669,0.1527555110220441,-0.39428170716240596,1,12
228,2022-12-15 00:00:00,229,2022-12-16 00:00:00,230,2022-12-19 00:00:00,0.0021116567509547723,1,1,0.015550872063619117,0.08958678481344201,0.16666666666666669,0.1527555110220441,-0.29908762954397994,1,1
