peak_index,peak_date,trough_index,trough_date,recovery_index,recovery_date,depth_pct,duration_days,recovery_days,mean_pos_during_drawdown,mean_pos_outside_drawdown,mean_kelly_during,mean_kelly_outside,buy_hold_depth_pct,buy_hold_duration_days,buy_hold_recovery_days
1,2024-01-10 00:00:00,2,2024-01-11 00:00:00,3,2024-01-12 00:00:00,0.08543304330186591,1,1,0.48679521103396095,0.2724567681290575,0.05,0.09849397590361449,-0.17767375010731526,1,3
3,2024-01-12 00:00:00,4,2024-01-16 00:00:00,7,2024-01-19 00:00:00,0.2546208500597628,1,3,0.375988002014087,0.2729017770006233,0.05,0.09849397590361449,0.5186898108197214,1,1
8,2024-01-22 00:00:00,10,2024-01-24 00:00:00,13,2024-01-29 00:00:00,0.26505641915736533,2,3,0.49797824069016117,0.2719580004592919,0.0888888888888889,0.09835680751173713,0.518221142784586,2,93
14,2024-01-30 00:00:00,305,2025-03-28 00:00:00,395,2025-08-07 00:00:00,11.946240092655476,291,90,0.2537936116488533,0.3007179151388145,0.10114155251141556,0.09431089743589748,-17.22352666307209,291,1
395,2025-08-07 00:00:00,397,2025-08-11 00:00:00,404,2025-08-20 00:00:00,0.7950050876480178,2,7,0.6417126788939916,0.2710903881562507,0.0888888888888889,0.09835680751173713,-0.2350894186113774,2,1
404,2025-08-20 00:00:00,409,2025-08-27 00:00:00,415,2025-09-05 00:00:00,0.358771691267713,5,6,0.13415343020719603,0.27500433273096236,0.1277777777777778,0.0979419703103914,-3.387389689432551,5,1
416,2025-09-08 00:00:00,429,2025-09-25 00:00:00,473,2025-11-26 00:00:00,3.613197223938338,13,44,0.2835816176136751,0.2730183504192328,0.08333333333333336,0.09873113854595339,-8.737952688038046,13,1
477,2025-12-03 00:00:00,481,2025-12-09 00:00:00,486,2025-12-16 00:00:00,0.4753777283564963,4,5,0.28181143069252335,0.2732282904987393,0.09666666666666666,0.09831649831649836,0.6888322414228618,4,
488,2025-12-18 00:00:00,499,2026-01-06 00:00:00,,,2.88411270204538,11,,0.41026154544324345,0.2699465623053681,0.0888888888888889,0.09853142076502736,4.912373111821373,11,
