date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2024-01-09T00:00:00.000000000,9986.14459511891,10056.551114355723
1,2024-01-10T00:00:00.000000000,10002.027603366305,10024.090335013196
2,2024-01-11T00:00:00.000000000,9993.482566792858,10041.900512225558
3,2024-01-12T00:00:00.000000000,10025.819305148005,9917.444594041464
4,2024-01-16T00:00:00.000000000,10000.291478807781,9866.00381943848
5,2024-01-17T00:00:00.000000000,10012.216098686209,10182.224150985894
6,2024-01-18T00:00:00.000000000,10017.54242496767,10339.169381068517
7,2024-01-19T00:00:00.000000000,10051.51161654406,10464.167966494544
8,2024-01-22T00:00:00.000000000,10097.425228870925,10533.558597372854
9,2024-01-23T00:00:00.000000000,10072.178188049276,10496.795613060507
10,2024-01-24T00:00:00.000000000,10070.661355132186,10478.971469633665
11,2024-01-25T00:00:00.000000000,10070.661355132186,10384.100112077098
12,2024-01-26T00:00:00.000000000,10070.661355132186,10346.79660455363
13,2024-01-29T00:00:00.000000000,10168.515737043366,10145.721550831697
14,2024-01-30T00:00:00.000000000,10168.515737043366,9947.400172614793
15,2024-01-31T00:00:00.000000000,10123.717562615422,10079.226501271818
16,2024-02-01T00:00:00.000000000,10136.54243148305,10024.60026522348
17,2024-02-02T00:00:00.000000000,10156.845683010368,10122.824655446211
18,2024-02-05T00:00:00.000000000,10113.197904089082,10209.82781103396
19,2024-02-06T00:00:00.000000000,10112.275775774517,10215.758470114213
20,2024-02-07T00:00:00.000000000,10125.632477023342,10156.800690896875
21,2024-02-08T00:00:00.000000000,10124.64658663429,10198.297436913186
22,2024-02-09T00:00:00.000000000,10160.103837541628,10106.076251905228
23,2024-02-12T00:00:00.000000000,10121.667691004119,9991.490225559795
24,2024-02-13T00:00:00.000000000,10110.782481967746,9943.318408758481
25,2024-02-14T00:00:00.000000000,10110.40589628642,9927.647012610323
26,2024-02-15T00:00:00.000000000,10136.931766336244,9843.599642046918
27,2024-02-16T00:00:00.000000000,10118.775744415201,9803.021050431675
28,2024-02-20T00:00:00.000000000,10113.914631215339,9843.970013176999
29,2024-02-21T00:00:00.000000000,10145.635427039999,9954.037862378851
30,2024-02-22T00:00:00.000000000,10113.464670880452,9853.652516219987
31,2024-02-23T00:00:00.000000000,10093.739494470716,9779.954673878063
32,2024-02-26T00:00:00.000000000,10128.502533818815,9858.99313984211
33,2024-02-27T00:00:00.000000000,10061.174475300531,9793.456614098617
34,2024-02-28T00:00:00.000000000,10024.694293682236,9757.221428640209
35,2024-02-29T00:00:00.000000000,9969.54472233935,9698.202428686542
36,2024-03-01T00:00:00.000000000,9843.900064088235,9448.871162885753
37,2024-03-04T00:00:00.000000000,9705.578849242615,9176.241663955881
38,2024-03-05T00:00:00.000000000,9732.239833407963,9122.14244930862
39,2024-03-06T00:00:00.000000000,9732.239833407963,9115.668056072936
40,2024-03-07T00:00:00.000000000,9682.680074084288,9208.508003025885
41,2024-03-08T00:00:00.000000000,9653.150411092416,9316.818958544925
42,2024-03-11T00:00:00.000000000,9653.150411092416,9342.670816048889
43,2024-03-12T00:00:00.000000000,9712.01865059426,9228.721160285922
44,2024-03-13T00:00:00.000000000,9659.243386712948,9329.019195543784
45,2024-03-14T00:00:00.000000000,9666.888348332797,9308.505311658764
46,2024-03-15T00:00:00.000000000,9666.888348332797,9367.635025782927
47,2024-03-18T00:00:00.000000000,9601.667850096163,9494.038021589926
48,2024-03-19T00:00:00.000000000,9613.957948403928,9632.67181861046
49,2024-03-20T00:00:00.000000000,9618.466077747787,9230.83837394324
50,2024-03-21T00:00:00.000000000,9618.466077747787,9279.727288091644
51,2024-03-22T00:00:00.000000000,9649.524006507194,9202.379322084766
52,2024-03-25T00:00:00.000000000,9680.823048627064,9140.771758965042
53,2024-03-26T00:00:00.000000000,9579.219631744996,9332.642561475304
54,2024-03-27T00:00:00.000000000,9578.461364588455,9233.573716020319
55,2024-03-28T00:00:00.000000000,9573.35074030279,9155.164759045252
56,2024-04-01T00:00:00.000000000,9565.890103909662,9090.864474463475
57,2024-04-02T00:00:00.000000000,9567.97206905288,9134.372563044852
58,2024-04-03T00:00:00.000000000,9555.167282810804,9089.574264352177
59,2024-04-04T00:00:00.000000000,9566.328177833335,9130.401099522065
60,2024-04-05T00:00:00.000000000,9534.349864337706,9069.35890584573
61,2024-04-08T00:00:00.000000000,9559.752842677326,9134.80708055197
62,2024-04-09T00:00:00.000000000,9557.73540504668,9032.48002055811
63,2024-04-10T00:00:00.000000000,9696.810385227114,9415.105393735614
64,2024-04-11T00:00:00.000000000,9701.682376467696,9495.975243678135
65,2024-04-12T00:00:00.000000000,9689.936670973844,9286.057687112872
66,2024-04-15T00:00:00.000000000,9633.944117223313,9106.341125411553
67,2024-04-16T00:00:00.000000000,9619.640945038018,9031.844493822975
68,2024-04-17T00:00:00.000000000,9615.299989135774,8980.085503238135
69,2024-04-18T00:00:00.000000000,9567.807984481886,8869.74027698297
70,2024-04-19T00:00:00.000000000,9572.110697793003,8914.780930856437
71,2024-04-22T00:00:00.000000000,9550.626543498991,8971.57936169997
72,2024-04-23T00:00:00.000000000,9514.822791482942,9084.822161351007
73,2024-04-24T00:00:00.000000000,9515.186541569563,9131.463903333783
74,2024-04-25T00:00:00.000000000,9503.904666026994,9099.69777782139
75,2024-04-26T00:00:00.000000000,9573.325875028624,9322.68785675666
76,2024-04-29T00:00:00.000000000,9427.60590773146,9150.779674789366
77,2024-04-30T00:00:00.000000000,9428.628880752347,9095.276058155992
78,2024-05-01T00:00:00.000000000,9436.784990791466,9293.484787976671
79,2024-05-02T00:00:00.000000000,9657.493500892078,9833.395254873538
80,2024-05-03T00:00:00.000000000,9616.921638708725,9743.434960387087
81,2024-05-06T00:00:00.000000000,9616.921638708725,9780.361642659751
82,2024-05-07T00:00:00.000000000,9614.669791717755,9798.57812845096
83,2024-05-08T00:00:00.000000000,9601.794235529916,9896.21486644085
84,2024-05-09T00:00:00.000000000,9623.471372152475,9827.791431537033
85,2024-05-10T00:00:00.000000000,9576.223025973686,9999.695621343457
86,2024-05-13T00:00:00.000000000,9546.75485998756,10061.238191849852
87,2024-05-14T00:00:00.000000000,9512.161767359956,10183.42044757077
88,2024-05-15T00:00:00.000000000,9511.972952682296,10189.858494027058
89,2024-05-16T00:00:00.000000000,9511.723212429006,10191.469623716172
90,2024-05-17T00:00:00.000000000,9520.348406134799,10254.07801430658
91,2024-05-20T00:00:00.000000000,9519.225068519705,10324.153148833582
92,2024-05-21T00:00:00.000000000,9509.204496768923,10246.029786907051
93,2024-05-22T00:00:00.000000000,9518.624588956083,10027.963556734834
94,2024-05-23T00:00:00.000000000,9566.586309216527,10192.94462209893
95,2024-05-24T00:00:00.000000000,9566.35416477744,10193.481185636128
