date,strategy_equity,buy_hold_equity
2010-01-04,100000.0,100000.0
2010-01-05,100129.90294932948,100172.86913159047
2010-01-06,97902.84817808084,98579.47931047177
2010-01-07,97649.56861118686,98397.21826968016
2010-01-08,98557.8590371342,99051.43204306744
2010-01-11,97341.68122171718,98177.6349863862
2010-01-12,95793.14816179268,97060.86038960436
2010-01-13,97682.79991289927,98429.94494616012
2010-01-14,96891.45615751484,97859.88654603431
2010-01-15,94636.37134488147,96224.44506495328
2010-01-19,100430.12306067364,100481.26284369612
2010-01-20,98322.18321708961,98934.59461047189
2010-01-21,95981.69496299757,97224.3971015215
2010-01-22,89530.85640842491,92402.2205953489
2010-01-25,92732.350655961,94888.05744011357
2010-01-26,93893.85490433052,96229.13730145835
2010-01-27,95021.44952196947,97135.6238536647
2010-01-28,89891.78524250159,93121.79105121344
2010-01-29,86007.78073209497,89743.447693275
2010-02-01,87433.85658647273,90991.05463406692
2010-02-02,88093.95319707568,91519.06137423041
2010-02-03,89882.63986866699,93093.75661123855
2010-02-04,86067.01737272729,89738.75545676991
2010-02-05,87876.10126581666,91332.16015027057
2010-02-08,87078.2264035386,90706.02543400401
2010-02-09,88299.07170642917,91673.28053885615
2010-02-10,87722.87249644512,91173.28593009461
2010-02-11,89528.27092141582,92832.0844870274
2010-02-12,90421.61874482618,93631.1255158393
2010-02-16,92027.1020792029,95042.26173235738
2010-02-17,91657.34093048482,94645.09477239495
2010-02-18,91856.20904752516,94822.64870429951
2010-02-19,91078.99800073095,94233.91059244507
2010-02-22,90300.78980335454,93649.81266375889
2010-02-23,88889.4744016163,92079.79479087387
2010-02-24,91075.82714517623,93761.95785984938
2010-02-25,91918.66783441043,94388.08513992497
2010-02-26,92968.39791566046,95612.32756867417
2010-03-01,95666.93302755376,97654.3204827278
2010-03-02,95578.5517596114,97588.89687453177
2010-03-03,95883.10336380971,97813.17239433082
2010-03-04,96766.34750477545,98457.99425851696
2010-03-05,102055.81731177868,102308.29778524207
2010-03-08,102140.31272896744,102369.02915693301
2010-03-09,104698.52667079098,104210.05157370251
2010-03-10,105846.22710521528,105060.48411834103
2010-03-11,106267.2061269384,105368.87039425569
2010-03-12,106975.4006461197,105882.88965919564
2010-03-15,105189.18614813498,104593.2310584414
2010-03-16,105583.98320479393,104878.25282231333
2010-03-17,105373.58070542208,104724.05596626051
2010-03-18,105705.58471613645,104971.73317905715
2010-03-19,104206.41394283982,103850.26634577023
2010-03-22,105758.14254902706,105018.44733076064
2010-03-23,108118.58787044823,106705.24314671342
2010-03-24,108780.83727472773,107177.23306026398
2010-03-25,106981.76004298215,105906.2392988564
2010-03-26,109785.02170661672,107892.15589676928
2010-03-29,110774.70752601442,108588.34696820914
2010-03-30,113078.50897007859,110205.10873756156
2010-03-31,112509.57061580308,109807.92690521719
2010-04-01,113150.95880989618,110261.17018132037
2010-04-05,114837.45828353106,111438.68358598414
2010-04-06,115543.88422712682,111929.33090269039
2010-04-07,116255.34156957359,112424.6184025649
2010-04-08,115818.80976721601,112120.87974600948
2010-04-09,117058.27925112982,112980.70419984915
2010-04-12,117396.14608895952,113214.32701170347
2010-04-13,117490.70578208508,113279.66882179877
2010-04-14,119700.19194301763,114803.04690489003
2010-04-15,121901.62794300489,116312.31109751116
2010-04-16,120860.20812711157,115602.03588036509
2010-04-19,120634.66897088707,115447.83158812129
2010-04-20,118940.7968163739,114289.0722570959
2010-04-21,128893.33218148586,121125.17749258333
2010-04-22,133927.88902311225,124512.82352543122
2010-04-23,136415.61604150574,126550.15394774366
2010-04-26,135662.56789257258,125928.66685083634
2010-04-27,131353.2364123139,122442.90027807637
2010-04-28,131092.99489219722,122237.24498047815
