date,strategy_equity,buy_hold_equity
2020-01-02,100000.0,100000.0
2020-01-03,98528.16880173872,99027.8071517894
2020-01-06,99625.96144634191,99816.85369613582
2020-01-07,98970.45384474944,99347.43854930422
2020-01-08,101197.74135700321,100945.55338583034
2020-01-09,104204.03839858339,103089.72451234134
2020-01-10,104533.54943677832,103322.77765712039
2020-01-13,107650.58347226202,105530.19643126044
2020-01-14,105621.80915546117,104105.20648691985
2020-01-15,105006.91432939026,103659.04818086087
2020-01-16,106791.68861513074,104957.53229218136
2020-01-17,108357.06149363822,106119.53130985118
2020-01-21,107393.53215042374,105400.35012768078
2020-01-22,107896.98032324387,105776.5693072296
2020-01-23,108502.80244283214,106285.9752609176
2020-01-24,108141.2489725209,105979.6741323549
2020-01-27,104458.3651356696,102863.2996198713
2020-01-28,107887.5407665878,105773.2499121941
2020-01-29,110479.4635964882,107987.34962745324
2020-01-30,110296.28945535197,107830.87439925536
2020-01-31,104783.42365376998,103049.77585653302
2020-02-03,104450.17615550206,102766.773719791
2020-02-04,108472.56974334855,106159.49050342156
2020-02-05,109505.50842591896,107025.11496434917
2020-02-06,110964.55461108283,108276.99055426626
2020-02-07,109235.59945627759,106805.244559854
2020-02-10,109832.19734313313,107312.49027232843
2020-02-11,109080.80613719823,106665.05017397317
2020-02-12,112017.8174569753,109198.13848326406
2020-02-13,111095.62686729082,108420.50433518259
2020-02-14,111125.85313932126,108447.21756189695
2020-02-18,108718.96608716504,106461.46061179505
2020-02-19,110489.1727168347,108003.36702571982
2020-02-20,109438.42500364315,106895.30027405557
2020-02-21,107184.27744193168,104475.77742602727
2020-02-24,102551.16675724773,99513.10270598136
2020-02-25,98530.42220952452,96142.3571561573
2020-02-26,100274.77622177341,97667.57175504636
2020-02-27,92734.85574877095,91283.20541017133
2020-02-28,92668.76865852854,91229.82110779066
2020-03-02,102170.99629822577,99723.36267151656
2020-03-03,98597.5292278601,96556.22775939465
2020-03-04,103634.13829697382,101034.95575878683
2020-03-05,99932.08882484928,97757.69069582001
2020-03-06,98470.33784531003,96459.44895302592
2020-03-09,89884.27869224035,88830.26731878553
2020-03-10,97092.73275161562,95227.96393261269
2020-03-11,93335.22642387153,91920.63463460995
2020-03-12,83114.68445437885,82843.04814882607
2020-03-13,94173.79461273215,92768.34490010781
2020-03-16,86866.22088251385,80833.97640026045
2020-03-17,89157.92294397428,84388.24234450031
2020-03-18,87848.38556013157,82322.44055411346
2020-03-19,87444.50935298594,81691.65538862687
2020-03-20,84113.63237301001,76505.41677849866
2020-03-23,83041.48977052388,74880.14086037244
2020-03-24,88040.18933417309,82392.51667152984
2020-03-25,87749.1893832782,81938.62891703103
2020-03-26,90519.7618672118,86250.48091711407
2020-03-27,88271.13269387562,82679.5231578385
2020-03-30,89782.5897155503,85039.04398893914
2020-03-31,89672.64686452215,84865.4870485109
2020-04-01,86841.66423869596,80400.12093135691
2020-04-02,87711.10924772099,81741.70975821001
2020-04-03,86954.79272715998,80566.97058626103
2020-04-06,97377.18782907748,87595.43655893176
2020-04-07,95814.80590455113,86580.89244517282
2020-04-08,99034.50610876111,88796.89422647611
2020-04-09,99990.82717175089,89437.63230818823
2020-04-13,102685.1697092483,91193.11808268371
2020-04-14,109827.68623212232,95798.63643467046
2020-04-15,108444.86724927151,94924.26563126832
2020-04-16,109642.6712706569,95678.49540990894
2020-04-17,107650.08548101157,94380.26420487686
2020-04-20,105002.96396333796,92421.24155701335
2020-04-21,100691.51717086746,89564.45427406885
2020-04-22,104093.99184196876,92144.22486909728
2020-04-23,103623.42178841073,91787.14226537224
2020-04-24,106324.72206455955,94437.01005334109
2020-04-27,106389.04093110505,94503.75623795994
2020-04-28,104784.81383765073,92971.89231123785
2020-04-29,107916.74606626197,96025.57767747935
2020-04-30,110895.61200665485,98051.34650996172
2020-05-01,108827.05636547945,96472.78975974009
2020-05-04,110616.01399928502,97837.756611629
2020-05-05,112810.18421750818,99306.21482429179
2020-05-06,113831.36986645497,100330.78034972938
2020-05-07,114902.95659432416,101368.68668188112
2020-05-08,117391.69171059622,103781.42321117016
2020-05-11,119072.64308571527,105414.46019102227
2020-05-12,117465.37579616366,104209.77269941955
2020-05-13,116150.91905471303,102951.53230124389
2020-05-14,117101.23342907114,103583.97716424824
2020-05-15,116143.42256811597,102971.58566236318
2020-05-18,119961.77222164722,105397.72622493847
2020-05-19,118995.84073086975,104788.70680689902
2020-05-20,122231.46304677006,106826.63621674958
2020-05-21,120977.33902045016,106030.20270122889
2020-05-22,122037.80458173782,106712.8916135327
2020-05-26,120881.88960586124,105990.03275241819
2020-05-27,121615.92965993565,106451.81855954911
2020-05-28,121617.58248760065,106498.69052500294
2020-05-29,121509.80569927818,106394.97787122669
2020-06-01,123550.7392263799,107703.40962989171
2020-06-02,124335.70394594192,108201.97222646371
2020-06-03,125245.02257190319,108797.68245107504
2020-06-04,124220.91647601509,107860.67519024089
2020-06-05,128178.18711038967,110932.64357358274
2020-06-08,129013.46615217334,111588.54549483806
2020-06-09,133542.3791843407,115112.30988691827
2020-06-10,138256.3406774594,118073.84252431673
2020-06-11,129257.3391761099,112405.06398476413
2020-06-12,130513.63684351847,113375.51810224184
2020-06-15,132742.82660992505,114777.62002748043
2020-06-16,137572.57279693492,117819.50310026233
2020-06-17,137312.28599089547,117655.52498550799
2020-06-18,137349.6093901292,117702.40748872384
2020-06-19,136460.58027569446,117029.7505258607
2020-06-22,140466.82362361383,120091.67642199989
2020-06-23,144478.18591210846,122655.03972156707
2020-06-24,141593.41226047385,120489.93006192728
2020-06-25,144168.00543259425,122089.52018513586
2020-06-26,140082.12683834054,118338.20336004974
2020-06-29,144337.2497182733,121065.50262332319
2020-06-30,145949.38911506033,122076.1266896116
2020-07-01,145617.32620104417,121845.19163499806
2020-07-02,145594.82504207708,121845.19163499806
2020-07-06,149920.12338293216,125104.62680463126
2020-07-07,149400.7336134255,124716.40511414451
