2025-12-18 18:25:15 | INFO     | training.AAPL.regressor | Training log initialized: /home/thunderboltdy/ai-stocks/python-ai-service/training_logs/AAPL_regressor_20251218_182515.log
2025-12-18 18:25:15 | DEBUG    | training.AAPL.regressor | Symbol: AAPL, Model Type: regressor
2025-12-18 18:25:15 | DEBUG    | training.AAPL.regressor | Python version: 3.10.19 (main, Oct 21 2025, 16:43:05) [GCC 11.2.0]
2025-12-18 18:25:15 | INFO     | training.AAPL.regressor | Starting regressor training for AAPL
2025-12-18 18:25:15 | INFO     | training.AAPL.regressor | Arguments: epochs=5, batch_size=256, sequence_length=90, seed=42
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | [OK] Feature count validated: 147 features
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | Using all 147 features
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | 
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | ============================================================
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | TARGET DISTRIBUTION CHECK
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | ============================================================
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |    Positive: 50.0% (5,669 samples) | mean: +1.96%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |    Negative: 46.8% (5,305 samples) | mean: -1.95%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |    Zero:     3.3% (371 samples)
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |    Overall:  mean=+0.070%, std=2.805%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | 
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |    Percentiles:
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |       10th: -2.826%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |       25th: -1.253%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |       50th: +0.000% (median)
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |       75th: +1.414%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |       90th: +3.020%
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | 
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | [OK] Distribution is balanced
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor | ============================================================
2025-12-18 18:32:21 | INFO     | training.AAPL.regressor |    [OK] Target distribution metadata saved to /home/thunderboltdy/ai-stocks/python-ai-service/saved_models/AAPL/target_distribution.json
