model_file,model_type,size_mb,age_days,severity,has_training_script,has_inference_usage
model.keras,UNKNOWN,11.91,1,HIGH,False,False
vol_scaler.pkl,scaler,0.0,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
target_scaler.pkl,scaler,0.0,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.43,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,1,HIGH,False,False
target_metadata.pkl,UNKNOWN,0.0,0,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,0,HIGH,False,False
regressor.weights.h5,regressor,11.69,0,HIGH,False,False
target_scaler_robust.pkl,scaler,0.0,0,HIGH,False,False
features.pkl,UNKNOWN,0.0,0,HIGH,False,False
model.keras,UNKNOWN,11.97,0,HIGH,False,False
vol_scaler.pkl,scaler,0.0,0,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,0,HIGH,False,False
target_scaler.pkl,scaler,0.0,0,HIGH,False,False
feature_scaler.pkl,scaler,0.0,0,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,0,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,0,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.48,0,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,0,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,0,HIGH,False,False
buy_model.keras,UNKNOWN,1.71,0,HIGH,False,False
sell.weights.h5,UNKNOWN,1.61,0,HIGH,False,False
sell_model.keras,UNKNOWN,1.71,0,HIGH,False,False
buy.weights.h5,UNKNOWN,1.61,0,HIGH,False,False
features.pkl,UNKNOWN,0.0,0,HIGH,False,False
buy_calibrated.pkl,UNKNOWN,1.71,0,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,0,HIGH,False,False
sell_calibrated.pkl,UNKNOWN,1.71,0,HIGH,False,False
feature_scaler.pkl,scaler,0.0,0,HIGH,False,False
target_metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
regressor.weights.h5,regressor,11.69,1,HIGH,False,False
target_scaler_robust.pkl,scaler,0.0,1,HIGH,False,False
features.pkl,UNKNOWN,0.0,1,HIGH,False,False
model.keras,UNKNOWN,11.97,1,HIGH,False,False
vol_scaler.pkl,scaler,0.0,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
target_scaler.pkl,scaler,0.0,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.41,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,1,HIGH,False,False
buy_model.keras,UNKNOWN,1.71,1,HIGH,False,False
sell.weights.h5,UNKNOWN,1.61,1,HIGH,False,False
sell_model.keras,UNKNOWN,1.71,1,HIGH,False,False
buy.weights.h5,UNKNOWN,1.61,1,HIGH,False,False
features.pkl,UNKNOWN,0.0,1,HIGH,False,False
buy_calibrated.pkl,UNKNOWN,1.71,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
sell_calibrated.pkl,UNKNOWN,1.71,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
target_metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
regressor.weights.h5,regressor,11.69,1,HIGH,False,False
target_scaler_robust.pkl,scaler,0.0,1,HIGH,False,False
features.pkl,UNKNOWN,0.0,1,HIGH,False,False
model.keras,UNKNOWN,11.97,1,HIGH,False,False
vol_scaler.pkl,scaler,0.0,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
target_scaler.pkl,scaler,0.0,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.48,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,1,HIGH,False,False
buy_model.keras,UNKNOWN,1.71,1,HIGH,False,False
sell.weights.h5,UNKNOWN,1.61,1,HIGH,False,False
sell_model.keras,UNKNOWN,1.71,1,HIGH,False,False
buy.weights.h5,UNKNOWN,1.61,1,HIGH,False,False
features.pkl,UNKNOWN,0.0,1,HIGH,False,False
buy_calibrated.pkl,UNKNOWN,1.71,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
sell_calibrated.pkl,UNKNOWN,1.71,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.33,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.1,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.37,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.43,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.4,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.11,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.42,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.21,1,HIGH,False,False
target_metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
regressor.weights.h5,regressor,11.69,1,HIGH,False,False
target_scaler_robust.pkl,scaler,0.0,1,HIGH,False,False
features.pkl,UNKNOWN,0.0,1,HIGH,False,False
model.keras,UNKNOWN,11.97,1,HIGH,False,False
vol_scaler.pkl,scaler,0.0,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
target_scaler.pkl,scaler,0.0,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
lgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
xgb_scaler.joblib,scaler,0.0,1,HIGH,False,False
lgb_reg.joblib,UNKNOWN,0.31,1,HIGH,False,False
feature_columns.pkl,UNKNOWN,0.0,1,HIGH,False,False
xgb_reg.joblib,UNKNOWN,0.09,1,HIGH,False,False
buy_model.keras,UNKNOWN,1.71,1,HIGH,False,False
sell.weights.h5,UNKNOWN,1.61,1,HIGH,False,False
sell_model.keras,UNKNOWN,1.71,1,HIGH,False,False
buy.weights.h5,UNKNOWN,1.61,1,HIGH,False,False
features.pkl,UNKNOWN,0.0,1,HIGH,False,False
buy_calibrated.pkl,UNKNOWN,1.71,1,HIGH,False,False
metadata.pkl,UNKNOWN,0.0,1,HIGH,False,False
sell_calibrated.pkl,UNKNOWN,1.71,1,HIGH,False,False
feature_scaler.pkl,scaler,0.0,1,HIGH,False,False
