model_file,model_type,symbol,size_mb,modified_date,age_days,training_script,training_confidence,inference_usage,inference_count,status,recommendation
xgb_reg.joblib,UNKNOWN,,0.21,2025-12-18T22:37:23.824099,1,None,0.0,None,0,ORPHANED,REVIEW
target_metadata.pkl,UNKNOWN,,0.0,2025-12-19T15:30:39.635124,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T15:44:29.589382,1,None,0.0,None,0,ORPHANED,REVIEW
regressor.weights.h5,regressor,,11.69,2025-12-19T15:30:35.595732,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler_robust.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
model.keras,UNKNOWN,,11.97,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
vol_scaler.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T15:30:39.635124,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-19T15:44:40.504836,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-19T15:44:37.302401,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.31,2025-12-19T15:44:40.504836,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T15:44:40.517059,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.09,2025-12-19T15:44:37.302401,1,None,0.0,None,0,ORPHANED,REVIEW
buy_model.keras,UNKNOWN,,1.71,2025-12-19T15:44:27.792538,1,None,0.0,None,0,ORPHANED,REVIEW
sell.weights.h5,UNKNOWN,,1.61,2025-12-19T15:44:27.181366,1,None,0.0,None,0,ORPHANED,REVIEW
sell_model.keras,UNKNOWN,,1.71,2025-12-19T15:44:28.147017,1,None,0.0,None,0,ORPHANED,REVIEW
buy.weights.h5,UNKNOWN,,1.61,2025-12-19T15:44:27.083579,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T15:44:29.589382,1,None,0.0,None,0,ORPHANED,REVIEW
buy_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T15:44:26.688355,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T15:44:29.597532,1,None,0.0,None,0,ORPHANED,REVIEW
sell_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T15:44:26.867632,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T15:44:29.589382,1,None,0.0,None,0,ORPHANED,REVIEW
