absolute_path,relative_path,filename,extension,file_type,size_bytes,size_mb,created_date,modified_date,category,confidence,rules_matched,needs_review
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/backtest_signals.csv,backtest_results/MSFT_20251218_235527/backtest_signals.csv,backtest_signals.csv,.csv,DATA_CSV,798,0.0008,2025-12-18T23:55:35.962730,2025-12-18T23:55:35.962730,TEST,0.95,"[""path contains 'test_'"", 'data file type', ""name contains 'backtest_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/backtest_trades.csv,backtest_results/MSFT_20251218_235527/backtest_trades.csv,backtest_trades.csv,.csv,DATA_CSV,7263,0.0069,2025-12-18T23:55:35.958730,2025-12-18T23:55:35.958730,TEST,0.95,"[""path contains 'test_'"", 'data file type', ""name contains 'backtest_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/calibration_analysis.json,backtest_results/MSFT_20251218_235527/calibration_analysis.json,calibration_analysis.json,.json,CONFIG_JSON,109,0.0001,2025-12-18T23:55:33.758728,2025-12-18T23:55:33.758728,TEST,0.95,"[""path contains 'test_'"", 'config file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/confidence_analysis.json,backtest_results/MSFT_20251218_235527/confidence_analysis.json,confidence_analysis.json,.json,CONFIG_JSON,249,0.0002,2025-12-18T23:55:33.686728,2025-12-18T23:55:33.686728,TEST,0.95,"[""path contains 'test_'"", 'config file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/confidence_sizing_comparison.json,backtest_results/MSFT_20251218_235527/confidence_sizing_comparison.json,confidence_sizing_comparison.json,.json,CONFIG_JSON,159,0.0002,2025-12-18T23:55:35.958730,2025-12-18T23:55:35.958730,TEST,0.95,"[""path contains 'test_'"", 'config file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/confidence_trade_log.csv,backtest_results/MSFT_20251218_235527/confidence_trade_log.csv,confidence_trade_log.csv,.csv,DATA_CSV,7263,0.0069,2025-12-18T23:55:33.690728,2025-12-18T23:55:33.690728,TEST,0.95,"[""path contains 'test_'"", 'data file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/dashboard.png,backtest_results/MSFT_20251218_235527/dashboard.png,dashboard.png,.png,OTHER,617118,0.5885,2025-12-18T23:55:35.946730,2025-12-18T23:55:35.946730,TEST,0.95,"[""path contains 'test_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/drawdowns.csv,backtest_results/MSFT_20251218_235527/drawdowns.csv,drawdowns.csv,.csv,DATA_CSV,267,0.0003,2025-12-18T23:55:34.146728,2025-12-18T23:55:34.146728,TEST,0.95,"[""path contains 'test_'"", 'data file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/equity_comparison.csv,backtest_results/MSFT_20251218_235527/equity_comparison.csv,equity_comparison.csv,.csv,DATA_CSV,3665,0.0035,2025-12-18T23:55:34.138728,2025-12-18T23:55:34.138728,TEST,0.95,"[""path contains 'test_'"", 'data file type']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/equity_curve.png,backtest_results/MSFT_20251218_235527/equity_curve.png,equity_curve.png,.png,OTHER,53506,0.051,2025-12-18T23:55:34.138728,2025-12-18T23:55:34.138728,TEST,0.95,"[""path contains 'test_'""]",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/exit_analysis.txt,backtest_results/MSFT_20251218_235527/exit_analysis.txt,exit_analysis.txt,.txt,DOC_TEXT,1399,0.0013,2025-12-18T23:55:34.142728,2025-12-18T23:55:34.142728,TEST,0.95,"[""path contains 'test_'"", 'documentation file']",False
/home/thunderboltdy/ai-stocks/python-ai-service/backtest_results/MSFT_20251218_235527/position_heatmap.png,backtest_results/MSFT_20251218_235527/position_heatmap.png,position_heatmap.png,.png,OTHER,123205,0.1175,2025-12-18T23:55:34.578727,2025-12-18T23:55:34.578727,TEST,0.95,"[""path contains 'test_'""]",False
