date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2025-09-26T00:00:00.000000000,9988.310564965543,10061.204414458185
1,2025-09-29T00:00:00.000000000,9990.624496732857,10126.49103937289
2,2025-09-30T00:00:00.000000000,9993.097279149983,10160.842674062853
3,2025-10-01T00:00:00.000000000,9992.316430560171,10082.92725358076
4,2025-10-02T00:00:00.000000000,9992.477599912558,10114.353234236021
5,2025-10-03T00:00:00.000000000,9994.027288618214,10331.364052715275
6,2025-10-06T00:00:00.000000000,9972.709850942714,10241.25555636781
7,2025-10-07T00:00:00.000000000,9972.804910724995,10258.246371333733
8,2025-10-08T00:00:00.000000000,9973.42817655135,10210.249733847138
9,2025-10-09T00:00:00.000000000,9975.021815898011,9984.170818060415
10,2025-10-10T00:00:00.000000000,9976.696750666619,10044.367083741005
11,2025-10-13T00:00:00.000000000,9973.532861556017,10034.98441185698
12,2025-10-14T00:00:00.000000000,9972.991169328192,10032.247858745717
13,2025-10-15T00:00:00.000000000,9961.430854456064,9996.62270495631
14,2025-10-16T00:00:00.000000000,9973.081036377996,10035.042645877636
15,2025-10-17T00:00:00.000000000,9996.223525273192,10097.56725014301
16,2025-10-20T00:00:00.000000000,10000.243636320378,10114.552555810898
17,2025-10-21T00:00:00.000000000,10002.158002642207,10170.669158104463
18,2025-10-22T00:00:00.000000000,10002.182228657006,10171.059843311274
19,2025-10-23T00:00:00.000000000,10003.800781060103,10230.479124756343
20,2025-10-24T00:00:00.000000000,10009.262435654895,10383.872578813558
21,2025-10-27T00:00:00.000000000,10026.575785557334,10587.960152453663
22,2025-10-28T00:00:00.000000000,10026.655758833944,10577.798117459402
23,2025-10-29T00:00:00.000000000,10026.655758833944,10264.795204881177
24,2025-10-30T00:00:00.000000000,10026.655758833944,10108.395476748712
25,2025-10-31T00:00:00.000000000,10030.035123215135,10093.158047923276
26,2025-11-03T00:00:00.000000000,10039.253131175228,10040.312312985516
27,2025-11-04T00:00:00.000000000,10039.253131175228,9899.360107993612
28,2025-11-05T00:00:00.000000000,10094.276935552185,9701.023390668433
29,2025-11-06T00:00:00.000000000,10095.95418297377,9695.557525568573
30,2025-11-07T00:00:00.000000000,10135.061333011781,9873.072174021892
31,2025-11-10T00:00:00.000000000,10140.791014317212,9925.226232352174
32,2025-11-11T00:00:00.000000000,10140.791014317212,9973.11017404488
33,2025-11-12T00:00:00.000000000,10140.791014317212,9818.756103264204
34,2025-11-13T00:00:00.000000000,10154.945954834926,9952.261876248647
35,2025-11-14T00:00:00.000000000,10181.289667882207,9899.648414241257
36,2025-11-17T00:00:00.000000000,10320.603421447006,9628.72847687607
37,2025-11-18T00:00:00.000000000,10390.782866541515,9497.778997687938
38,2025-11-19T00:00:00.000000000,10425.688868580399,9344.57300901398
39,2025-11-20T00:00:00.000000000,10425.688868580399,9220.5077841048
40,2025-11-21T00:00:00.000000000,10453.447221790471,9257.151386524192
41,2025-11-24T00:00:00.000000000,10519.180422813472,9315.362059049741
42,2025-11-25T00:00:00.000000000,10705.19931514379,9480.092889991876
43,2025-11-26T00:00:00.000000000,10847.79014642919,9606.365581050932
44,2025-11-28T00:00:00.000000000,10846.890415970942,9502.91480507108
45,2025-12-01T00:00:00.000000000,10838.331874529915,9566.349722066587
46,2025-12-02T00:00:00.000000000,10838.331874529915,9323.750453174482
47,2025-12-03T00:00:00.000000000,10837.20212180095,9384.2506333413
48,2025-12-04T00:00:00.000000000,10886.804207602445,9429.41987034336
49,2025-12-05T00:00:00.000000000,10805.506454095872,9581.58212149493
50,2025-12-08T00:00:00.000000000,10803.546830291769,9601.075907384982
51,2025-12-09T00:00:00.000000000,10953.37989224771,9334.763626080965
52,2025-12-10T00:00:00.000000000,10897.475603986899,9430.049888720006
53,2025-12-11T00:00:00.000000000,10949.097769353544,9333.199828530363
54,2025-12-12T00:00:00.000000000,10949.097769353544,9260.55858201022
55,2025-12-15T00:00:00.000000000,10952.29477009823,9291.128398700854
56,2025-12-16T00:00:00.000000000,10952.209261830345,9285.860661508628
57,2025-12-17T00:00:00.000000000,10950.918401143841,9437.904495119901
58,2025-12-18T00:00:00.000000000,10954.2799239743,9475.660102335707
59,2025-12-19T00:00:00.000000000,10956.693225182165,9462.195180252877
