number,value,datetime_start,datetime_complete,duration,params_batch_size,params_direction_weight,params_dropout,params_learning_rate,params_loss_type,params_lstm_d_model,params_lstm_ff_dim,params_lstm_num_blocks,params_lstm_num_heads,params_lstm_units,params_min_variance_target,params_model_type,params_patchtst_d_model,params_patchtst_n_heads,params_patchtst_n_layers,params_patchtst_patch_len,params_variance_penalty_weight,user_attrs_best_val_loss,user_attrs_correlation,user_attrs_cumulative_return,user_attrs_directional_accuracy,user_attrs_pred_std,user_attrs_sharpe_ratio,state
0,-0.452385787036362,2025-12-18 09:41:34.371852,2025-12-18 09:42:14.215049,0 days 00:00:39.843197,512,,0.06452090304204987,0.000291063591313307,huber,64.0,128.0,3.0,8.0,64.0,,lstm_transformer,,,,,,0.001224615378305316,-0.04276442645288864,-1.4168269634246826,0.4739952718676123,0.042728740721940994,-0.8293587906539407,COMPLETE
1,,2025-12-18 09:42:14.449808,2025-12-18 09:42:16.722673,0 days 00:00:02.272865,2048,,0.09991844553958994,3.8396292998041685e-05,anti_collapse,,,,,,0.0099517691011127,patchtst,64.0,4.0,4.0,16.0,0.14881529393791154,,,,,,,PRUNED
2,-0.49232097332686586,2025-12-18 09:42:16.983379,2025-12-18 09:42:45.390732,0 days 00:00:28.407353,512,,0.1866775698358199,3.292759134423613e-05,anti_collapse,64.0,128.0,2.0,4.0,32.0,0.008567533266935892,lstm_transformer,,,,,0.43149500366077176,0.0033361653331667185,-0.040473974655699005,-0.9088626503944397,0.4988179669030733,0.07473256438970566,-0.5315881596879358,COMPLETE
3,-0.5173717195126522,2025-12-18 09:42:45.674843,2025-12-18 09:43:30.038730,0 days 00:00:44.363887,2048,1.2774558042891555,0.24306119232416434,1.913588048769229e-05,directional_huber,128.0,128.0,3.0,8.0,128.0,,lstm_transformer,,,,,,0.013634740374982357,-0.035131366075353554,-0.4939382076263428,0.49940898345153667,0.12576483190059662,-0.28878737260427206,COMPLETE
4,-0.5071453914083826,2025-12-18 09:43:29.904843,2025-12-18 09:44:43.495544,0 days 00:01:13.590701,512,1.1232305728721874,0.22831119680574874,0.00018841476921545086,directional_huber,128.0,256.0,2.0,8.0,64.0,,lstm_transformer,,,,,,0.001445756177417934,-0.007071821725087839,-0.571243941783905,0.4781323877068558,0.037687789648771286,-0.33400381501850934,COMPLETE
5,-0.5388830065301113,2025-12-18 09:44:43.877478,2025-12-18 09:46:06.843495,0 days 00:01:22.966017,2048,2.361652248626839,0.1562585992318275,1.9291291195931594e-05,directional_huber,128.0,128.0,4.0,8.0,128.0,,lstm_transformer,,,,,,0.03789114952087402,0.012332893957450318,-0.14252029359340668,0.48995271867612294,0.17999686300754547,-0.08331370336082901,COMPLETE
6,0.06006713584065437,2025-12-18 09:46:07.267875,2025-12-18 09:47:03.004215,0 days 00:00:55.736340,1024,2.919457942752939,0.11376619252861575,2.765760067357809e-05,directional_huber,128.0,256.0,4.0,4.0,128.0,,lstm_transformer,,,,,,,,,,,,PRUNED
7,0.005670576356351376,2025-12-18 09:47:03.522942,2025-12-18 09:48:06.496661,0 days 00:01:02.973719,2048,,0.1617602606868243,0.00015252866801503275,huber,128.0,128.0,4.0,8.0,128.0,,lstm_transformer,,,,,,,,,,,,PRUNED
8,0.048120543360710144,2025-12-18 09:48:07.089666,2025-12-18 09:49:00.903857,0 days 00:00:53.814191,2048,2.1665738579682565,0.06452590171830633,3.626382708058879e-05,directional_huber,128.0,128.0,4.0,8.0,32.0,,lstm_transformer,,,,,,,,,,,,PRUNED
9,,2025-12-18 09:49:01.555622,2025-12-18 09:49:04.606915,0 days 00:00:03.051293,1024,,0.2739303249459292,0.00034159620263479095,anti_collapse,,,,,,0.014821559661099137,patchtst,128.0,8.0,2.0,8.0,0.29412407847898475,,,,,,,PRUNED
