number,value,datetime_start,datetime_complete,duration,params_batch_size,params_direction_weight,params_dropout,params_learning_rate,params_loss_type,params_lstm_d_model,params_lstm_ff_dim,params_lstm_num_blocks,params_lstm_num_heads,params_lstm_units,params_min_variance_target,params_model_type,params_patchtst_d_model,params_patchtst_n_heads,params_patchtst_n_layers,params_patchtst_patch_len,params_variance_penalty_weight,user_attrs_best_val_loss,user_attrs_correlation,user_attrs_cumulative_return,user_attrs_directional_accuracy,user_attrs_pred_std,user_attrs_sharpe_ratio,state
0,-0.49513312587655733,2025-12-18 17:57:12.067929,2025-12-18 17:57:46.830488,0 days 00:00:34.762559,512,,0.06452090304204987,0.000291063591313307,huber,64.0,128.0,3.0,8.0,64.0,,lstm_transformer,,,,,,0.00043223562533967197,-0.03447904137805628,-0.7660681009292603,0.483451536643026,0.022936983034014702,-0.4479958464284744,COMPLETE
1,,2025-12-18 17:57:47.044793,2025-12-18 17:57:49.226716,0 days 00:00:02.181923,2048,,0.09991844553958994,3.8396292998041685e-05,anti_collapse,,,,,,0.0099517691011127,patchtst,64.0,4.0,4.0,16.0,0.14881529393791154,,,,,,,PRUNED
2,-0.5801296300035664,2025-12-18 17:57:49.468176,2025-12-18 17:58:12.603377,0 days 00:00:23.135201,512,,0.1866775698358199,3.292759134423613e-05,anti_collapse,64.0,128.0,2.0,4.0,32.0,0.008567533266935892,lstm_transformer,,,,,0.43149500366077176,0.004994075279682875,-0.008916926316713456,0.46185535192489624,0.5100472813238771,0.09166096895933151,0.27002410105686925,COMPLETE
3,-0.5436622786741299,2025-12-18 17:58:12.846448,2025-12-18 17:58:46.625514,0 days 00:00:33.779066,2048,1.2774558042891555,0.24306119232416434,1.913588048769229e-05,directional_huber,128.0,128.0,3.0,8.0,128.0,,lstm_transformer,,,,,,0.025029737502336502,-0.01176141434132814,-0.04381203651428223,0.4934988179669031,0.16834639012813568,-0.025611070784985448,COMPLETE
4,-0.5149323970859979,2025-12-18 17:58:46.917888,2025-12-18 17:59:17.513677,0 days 00:00:30.595789,512,1.1232305728721874,0.22831119680574874,0.00018841476921545086,directional_huber,128.0,256.0,2.0,8.0,64.0,,lstm_transformer,,,,,,0.0010015580337494612,-0.015960923408850705,-0.48758161067962646,0.4875886524822695,0.03134201467037201,-0.2850697156602488,COMPLETE
5,-0.5659007011986573,2025-12-18 17:59:17.846658,2025-12-18 17:59:41.862048,0 days 00:00:24.015390,512,,0.11338263563964422,2.9001269930287333e-05,anti_collapse,64.0,128.0,2.0,4.0,32.0,0.0051231116956493745,lstm_transformer,,,,,0.4871640798896308,0.014047826640307903,-0.02930264540430686,0.314026415348053,0.5011820330969267,0.14793089032173157,0.18358152500317312,COMPLETE
6,,2025-12-18 17:59:42.212760,2025-12-18 17:59:44.219767,0 days 00:00:02.007007,2048,,0.2945994403723629,8.407931655574884e-05,anti_collapse,,,,,,0.013863027948095238,patchtst,128.0,8.0,2.0,8.0,0.3366734543720239,,,,,,,PRUNED
7,0.048386890441179276,2025-12-18 17:59:44.600307,2025-12-18 18:00:05.835657,0 days 00:00:21.235350,1024,,0.20027696991921823,3.146212867192343e-05,huber,64.0,256.0,4.0,4.0,32.0,,lstm_transformer,,,,,,,,,,,,PRUNED
8,,2025-12-18 18:00:06.351647,2025-12-18 18:00:08.844646,0 days 00:00:02.492999,512,,0.18643383733273827,1.555406810383303e-05,anti_collapse,,,,,,0.008629820752529582,patchtst,96.0,4.0,3.0,20.0,0.35553833378251076,,,,,,,PRUNED
9,-0.6207954774852434,2025-12-18 18:00:09.316908,2025-12-18 18:00:35.680612,0 days 00:00:26.363704,512,,0.15935641561002115,0.0006695556630604143,anti_collapse,64.0,128.0,2.0,4.0,32.0,0.011342043586722816,lstm_transformer,,,,,0.24140976156029786,0.00033841037657111883,0.013840183122840683,1.0289403200149536,0.5230496453900709,0.020431380718946457,0.6019160101693106,COMPLETE
