symbol,start,end,mode,n_days,strategy_return,buy_hold_return,alpha,sharpe_ratio,max_drawdown,win_rate,direction_accuracy,prediction_std,pred_positive_pct,turnover,total_transaction_costs,cost_adjusted_sharpe,commission,slippage
AAPL,2010-01-01,2014-12-31,gbm_only,1258,7.15198335062394,2.812538003600465,4.339445347023475,1.4125299662824111,-0.47181090674809084,0.5286168521462639,0.5767700875099443,0.005180318171094899,0.7686804451510334,0.06886382799456697,24079.804346223777,1.4125299662824111,0.0005,0.0003
AAPL,2010-01-01,2014-12-31,gbm_only,1258,6.632429628663094,2.8125368974501144,3.81989273121298,1.3729719506529934,-0.48181963584371046,0.5278219395866455,0.5775656324582339,0.0051871741109406405,0.7694753577106518,0.06949510687855663,43708.15010600474,1.3729719506529934,0.001,0.0005
AAPL,2015-01-01,2019-12-31,gbm_only,1258,3.4276638657554734,1.9232202679720678,1.5044435977834056,1.1156261002731582,-0.42801808736494773,0.5294117647058824,0.5688146380270486,0.004291441568039804,0.6717011128775835,0.08995252707443427,16709.46656417482,1.1156261002731582,0.0005,0.0003
AAPL,2015-01-01,2019-12-31,gbm_only,1258,3.0903466146062257,1.9232202679720678,1.167126346634158,1.0642842470397986,-0.42986121737501826,0.5238473767885533,0.5688146380270486,0.004291441568039804,0.6717011128775835,0.08995252707443427,29825.49763052452,1.0642842470397986,0.001,0.0005
AAPL,2020-01-01,2024-12-31,gbm_only,1258,2.6319786055423813,2.440024051393089,0.1919545541492922,0.8660229985081511,-0.40957340868490494,0.5294117647058824,0.49801113762927607,0.0047895148999106026,0.7384737678855325,0.08128456533563866,15888.127824291267,0.8660229985081511,0.0005,0.0003
AAPL,2020-01-01,2024-12-31,gbm_only,1258,2.3814543737363585,2.440024051393089,-0.0585696776567306,0.8286733945452525,-0.41990684292294383,0.5294117647058824,0.49801113762927607,0.0047895148999106026,0.7384737678855325,0.08128456533563866,28613.946063521442,0.8286733945452525,0.001,0.0005
AAPL,2010-01-01,2024-12-31,gbm_only,3774,182.04848441135667,37.84040164670066,144.208082764656,1.1827712357935296,-0.4717979703206318,0.5299417064122947,0.5531407368142062,0.004292363687157451,0.7318494965553789,0.08398618301936434,1332597.3432528123,1.1827712357935296,0.0005,0.0003
AAPL,2010-01-01,2024-12-31,gbm_only,3774,141.5896662974318,37.84038482588587,103.74928147154591,1.13379207633834,-0.4818556763144762,0.5283518812930578,0.5531407368142062,0.004295566718444326,0.7318494965553789,0.08404932969242075,2064557.937489717,1.13379207633834,0.001,0.0005
