date,strategy_equity,buy_hold_equity
2010-01-04,100000.0,100000.0
2010-01-05,100129.90144518678,100172.89146587647
2010-01-06,97904.14633247895,98579.48653539854
2010-01-07,97650.84484629691,98397.24033988455
2010-01-08,98559.11772428766,99051.43933818485
2010-01-11,97342.90363536729,98177.62727916498
2010-01-12,95794.39202153977,97060.88226106045
2010-01-13,97684.06816471754,98429.96702123173
2010-01-14,96892.73484008024,97859.9234087088
2010-01-15,94637.56952330077,96224.44450343822
2010-01-19,100431.42585541848,100481.2852238476
2010-01-20,98323.45882319337,98934.61676059694
2010-01-21,95982.94038006042,97224.4189972994
2010-01-22,89531.98877962437,92402.21946537796
2010-01-25,92733.55278207385,94888.07898842209
2010-01-26,93895.0455408748,96229.12930444909
2010-01-27,95022.68321297187,97135.63830004784
2010-01-28,89892.94283036563,93121.79746445185
2010-01-29,86008.90505523632,89743.46847645736
2010-02-01,87434.98242973897,90991.06073041403
2010-02-02,88095.0687545756,91519.05267672056
2010-02-03,89883.77851507209,93093.74814792343
2010-02-04,86068.17441520668,89738.80598402277
2010-02-05,87877.22276480799,91332.15886115613
2010-02-08,87079.32822030185,90706.01661557633
2010-02-09,88300.19865993079,91673.27930047445
2010-02-10,87724.00885106827,91173.29948973595
2010-02-11,89529.39823500674,92832.0685486033
2010-02-12,90422.77426052421,93631.1245686358
2010-02-16,92028.32070159509,95042.29817598389
2010-02-17,91658.54818630351,94645.12372076117
2010-02-18,91857.39958833037,94822.6628066881
2010-02-19,91080.12947796243,94233.88742631386
2010-02-22,90301.9310912789,93649.80428314256
2010-02-23,88890.6105741742,92079.80104914262
2010-02-24,91076.9816339672,93761.9569321038
2010-02-25,91919.86322883437,94388.10661387569
2010-02-26,92969.60028628052,95612.34178850685
2010-03-01,95668.17029862826,97654.3350062535
2010-03-02,95579.78788764113,97588.91138832743
2010-03-03,95884.30290134375,97813.15719671328
2010-03-04,96767.58893681418,98458.00146537604
2010-03-05,102057.13721870976,102308.31300092518
2010-03-08,102141.60265128719,102369.02207307209
2010-03-09,104699.90113010077,104210.08194460592
2010-03-10,105847.556054704,105060.46999857154
2010-03-11,106268.5913402383,105368.893501311
2010-03-12,106976.78478304575,105882.9054065058
2010-03-15,105190.54717352857,104593.24661394856
2010-03-16,105585.31837573696,104878.2461116338
2010-03-17,105374.93302492451,104724.06410503239
2010-03-18,105706.91134390609,104971.7190460883
2010-03-19,104207.81075512237,103850.31897174125
2010-03-22,105759.51020864146,105018.46294950764
2010-03-23,108120.02778257644,106705.2887610955
2010-03-24,108782.2022747224,107177.21925530556
2010-03-25,106983.16510001574,105906.26992202339
2010-03-26,109786.43169304435,107892.16450671318
2010-03-29,110776.1197197425,108588.34824550117
2010-03-30,113079.97204185925,110205.12512768878
2010-03-31,112511.00502578831,109807.92836388983
2010-04-01,113152.40148410534,110261.1717074011
2010-04-05,114838.98663730276,111438.72990434166
2010-04-06,115545.38967149906,111929.35498544264
2010-04-07,116256.85623636849,112424.6425589782
2010-04-08,115820.36149182978,112120.9336020179
2010-04-09,117059.77209061103,112980.70613038939
2010-04-12,117397.62177089808,113214.31410460485
2010-04-13,117492.268847903,113279.71541395469
2010-04-14,119701.70831944923,114803.04167026402
2010-04-15,121903.16178838615,116312.29865115666
2010-04-16,120861.79402161909,115602.06794552821
2010-04-19,120636.2301828407,115447.84875796639
2010-04-20,118942.28175510587,114289.05207364546
2010-04-21,128894.95543868067,121125.16576201681
2010-04-22,133929.63218078483,124512.84947964884
2010-04-23,136417.3271844094,126550.12815161631
2010-04-26,135664.32316923424,125928.68557943152
2010-04-27,131354.8532502877,122442.85156252622
2010-04-28,131094.692316439,122237.26316007088
2010-04-29,135091.98089784558,125526.8932489267
2010-04-30,130870.78386073995,121998.96294865252
2010-05-03,133791.55400347785,124456.79546374446
2010-05-04,129352.78898272247,120872.82601995007
2010-05-05,127794.4070958401,119615.89390874002
2010-05-06,121139.70472671048,115064.7733229287
2010-05-07,114066.49786087593,110209.76531154715
2010-05-10,126313.97932570652,118681.3876499574
2010-05-11,128063.28608021532,119863.53397741175
2010-05-12,131272.6039851065,122466.23095042795
2010-05-13,129129.52806461636,120723.3213781674
2010-05-14,126549.74764811512,118601.92450138295
2010-05-17,126779.58697280637,118788.81088075529
2010-05-18,125680.57814852784,117919.74311228291
2010-05-19,123020.52485573378,116041.31637554352
2010-05-20,115934.59537729884,111097.61690121537
2010-05-21,119034.43886044124,113228.32389048487
2010-05-24,122062.81108492553,115303.04378957872
2010-05-25,121001.14146207445,114583.45835431274
2010-05-26,120236.39549694733,114064.78395668334
2010-05-27,126585.37874953453,118382.28169589504
2010-05-28,128970.3270747791,120031.73320608526
2010-06-01,131613.3341422309,121877.4555700537
2010-06-02,133713.51347620695,123335.40282558945
2010-06-03,133206.87379044754,122947.55335523596
2010-06-04,128971.65966367435,119601.91386762825
2010-06-07,125956.15538281598,117256.1745119609
2010-06-08,124856.05900819135,116503.91444869229
2010-06-09,120631.4198955511,113639.53044016387
2010-06-10,125683.94804479255,117055.3155276689
2010-06-11,127784.70250573935,118457.03773488241
2010-06-14,128325.39914771491,118816.85276109165
2010-06-15,132119.52195552472,121344.78625892842
2010-06-16,137484.4837732814,124877.31212590849
2010-06-17,140783.6844502794,127036.08330409057
2010-06-18,142276.77631064877,128064.07736971186
2010-06-21,139891.88796658107,126241.73439364517
2010-06-22,142075.41774822623,127961.29432277232
2010-06-23,140387.58315791155,126615.55176954238
2010-06-24,139233.50495429078,125695.070169024
2010-06-25,137857.00688025408,124620.37681713588
2010-06-28,138832.94009564054,125367.95207939364
2010-06-29,131362.41478194177,119700.01954974908
2010-06-30,128205.68881835365,117531.93082288986
2010-07-01,126090.88205576198,116106.72512108547
2010-07-02,125015.64361128127,115387.09506866701
2010-07-06,126190.28312193458,116176.81866763823
2010-07-07,133177.5553515473,120868.14121893923
2010-07-08,132775.66500986431,120597.18868809447
2010-07-09,133825.087938025,121312.07444996545
2010-07-12,132183.25280614255,120223.3638760052
2010-07-13,128370.11984303966,117658.05607677078
2010-07-14,129019.44845760678,118092.60483339112
2010-07-15,128109.84185646515,117494.48215957142
2010-07-16,127010.81644916446,116770.18961471836
2010-07-19,123970.10825596408,114751.61296583386
2010-07-20,128411.0061142312,117700.07799821884
2010-07-21,129451.45975644302,118798.19535516118
2010-07-22,132774.0012539337,121031.75231709897
2010-07-23,133418.90464991474,121461.5642193639
2010-07-26,132954.16648046844,121153.25225950567
2010-07-27,136391.50266832215,123396.12677012057
2010-07-28,134137.31832379484,121938.24644031355
2010-07-29,132090.28305796566,120606.47649200326
2010-07-30,131474.94018980901,120204.66185292219
2010-08-02,134757.3910952638,122354.05599289053
2010-08-03,134814.92377722778,122391.46747524857
2010-08-04,135569.24859504722,122882.13717350202
2010-08-05,134661.16487480616,122284.01449968234
2010-08-06,133519.68291502484,121531.6800744929
2010-08-09,134684.16448887356,122307.33439804743
2010-08-10,133052.4884466133,121213.96876784466
2010-08-11,126477.1715940837,116905.7067791972
2010-08-12,127606.501076158,117653.40102052824
2010-08-13,125708.5761254504,116396.42429216571
2010-08-16,124678.94050513262,115714.19084972113
2010-08-17,127129.32362015425,117737.45973580854
2010-08-18,127747.52767679679,118251.41215146669
